Date,RSI
2000-01-03,None
2000-01-04,None
2000-01-05,None
2000-01-06,None
2000-01-07,None
2000-01-10,None
2000-01-11,None
2000-01-12,None
2000-01-13,None
2000-01-14,None
2000-01-18,None
2000-01-19,None
2000-01-20,None
2000-01-21,None
2000-01-24,43.739967897271264
2000-01-25,53.60556038227628
2000-01-26,55.88768115942029
2000-01-27,55.48561151079137
2000-01-28,43.926056338028175
2000-01-31,37.5796178343949
2000-02-01,46.80656934306569
2000-02-02,52.40480961923848
2000-02-03,56.244131455399064
2000-02-04,56.57036346691519
2000-02-07,56.44859813084112
2000-02-08,53.77176015473888
2000-02-09,51.124744376278116
2000-02-10,54.03846153846153
2000-02-11,59.28270042194092
2000-02-14,59.62343096234309
2000-02-15,60.76759061833688
2000-02-16,68.01909307875894
2000-02-17,82.20338983050847
2000-02-18,69.03939184519696
2000-02-22,63.75404530744336
2000-02-23,69.23076923076923
2000-02-24,62.2093023255814
2000-02-25,72.04301075268816
2000-02-28,65.01079913606911
2000-02-29,71.48080438756855
2000-03-01,65.81196581196582
2000-03-02,58.319327731092436
2000-03-03,68.64535768645358
2000-03-06,67.24960254372019
2000-03-07,67.24960254372019
2000-03-08,73.08707124010554
2000-03-09,73.36814621409923
2000-03-10,74.43708609271523
2000-03-13,69.7084917617237
2000-03-14,64.72919418758255
2000-03-15,67.45098039215686
2000-03-16,63.328424153166424
2000-03-17,63.142437591776805
2000-03-20,55.01618122977346
2000-03-21,61.951219512195124
2000-03-22,70.04830917874396
2000-03-23,66.90391459074733
2000-03-24,66.30434782608695
2000-03-27,69.2170818505338
2000-03-28,55.96529284164859
2000-03-29,47.65625
2000-03-30,45.26901669758812
2000-03-31,48.89779559118236
2000-04-03,49.795918367346935
2000-04-04,45.511482254697285
2000-04-05,43.62850971922246
2000-04-06,53.86178861788618
2000-04-07,63.23529411764706
2000-04-10,52.512998266897746
2000-04-11,41.15702479338843
2000-04-12,32.48407643312102
2000-04-13,31.31782945736434
2000-04-14,23.156532988357057
2000-04-17,40.0
2000-04-18,46.971307120085015
2000-04-19,46.723044397463
2000-04-20,44.2
2000-04-24,46.474677259185704
2000-04-25,49.71209213051823
2000-04-26,45.42020774315392
2000-04-27,46.38218923933209
2000-04-28,44.47646493756004
2000-05-01,47.68280123583934
2000-05-02,50.38084874863983
2000-05-03,52.43488108720271
2000-05-04,52.08098987626547
2000-05-05,64.69833119383826
2000-05-08,46.94189602446483
2000-05-09,40.640809443507585
2000-05-10,40.640809443507585
2000-05-11,52.052545155993435
2000-05-12,52.287581699346404
2000-05-15,51.894563426688634
2000-05-16,59.523809523809526
2000-05-17,51.34099616858237
2000-05-18,40.213523131672595
2000-05-19,37.293729372937285
2000-05-22,36.928104575163395
2000-05-23,34.08748114630467
2000-05-24,37.95180722891567
2000-05-25,37.38601823708206
2000-05-26,42.857142857142854
2000-05-30,52.4822695035461
2000-05-31,55.0595238095238
2000-06-01,56.35838150289017
2000-06-02,56.857142857142854
2000-06-05,54.72263868065968
2000-06-06,47.55043227665706
2000-06-07,51.99999999999999
2000-06-08,60.93979441997063
2000-06-09,65.8307210031348
2000-06-12,66.03773584905662
2000-06-13,76.70753064798599
2000-06-14,70.06802721088435
2000-06-15,71.10016420361248
2000-06-16,69.50819672131148
2000-06-19,66.84491978609626
2000-06-20,71.60552644116245
2000-06-21,65.42923433874711
2000-06-22,52.23880597014925
2000-06-23,47.648261758691206
2000-06-26,59.41422594142259
2000-06-27,54.10958904109588
2000-06-28,51.0948905109489
2000-06-29,46.69703872437358
2000-06-30,56.14035087719298
2000-07-03,47.599999999999994
2000-07-05,40.82332761578044
2000-07-06,40.51724137931034
2000-07-07,41.63763066202091
2000-07-10,32.276119402985074
2000-07-11,30.527248560035446
2000-07-12,34.66666666666667
2000-07-13,41.512915129151295
2000-07-14,44.76744186046511
2000-07-17,38.70967741935484
2000-07-18,36.809815950920246
2000-07-19,34.84536082474227
2000-07-20,45.78544061302682
2000-07-21,36.57587548638132
2000-07-24,40.95860566448801
2000-07-25,58.45272206303725
2000-07-26,52.92207792207792
2000-07-27,48.03625377643504
2000-07-28,45.95375722543352
2000-07-31,56.353591160220994
2000-08-01,46.498599439775916
2000-08-02,43.8235294117647
2000-08-03,52.60545905707196
2000-08-04,59.27505330490405
2000-08-07,63.88261851015801
2000-08-08,66.29955947136564
2000-08-09,56.34146341463414
2000-08-10,59.53608247422681
2000-08-11,62.311557788944725
2000-08-14,62.68656716417911
2000-08-15,58.82352941176471
2000-08-16,62.82722513089005
2000-08-17,74.1514360313316
2000-08-18,62.89473684210526
2000-08-21,71.35278514588859
2000-08-22,71.80156657963447
2000-08-23,63.38461538461539
2000-08-24,58.68055555555556
2000-08-25,57.74647887323944
2000-08-28,60.0
2000-08-29,67.58620689655172
2000-08-30,73.64620938628158
2000-08-31,75.9075907590759
2000-09-01,76.45161290322581
2000-09-05,74.76340694006309
2000-09-06,68.69565217391303
2000-09-07,67.46987951807229
2000-09-08,61.53846153846154
2000-09-11,50.520833333333336
2000-09-12,42.43792325056434
2000-09-13,48.19532908704883
2000-09-14,50.40650406504066
2000-09-15,41.54103852596315
2000-09-18,36.118143459915615
2000-09-19,39.147909967845656
2000-09-20,39.342948717948715
2000-09-21,33.919597989949736
2000-09-22,34.11273486430062
2000-09-25,33.73245251857969
2000-09-26,36.63829787234042
2000-09-27,33.9396628216504
2000-09-28,42.11547792333818
2000-09-29,42.63261296660118
2000-10-02,48.873873873873876
2000-10-03,32.1880650994575
2000-10-04,24.38095238095238
